[INFO ] 2018-05-09 13:59:40,132 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 13:59:41,207 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 14:07:47,273 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 14:07:47,904 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 14:24:45,572 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 14:24:59,297 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 14:24:59,876 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 15:27:03,480 com.controller.login.Login - 登入页面
[INFO ] 2018-05-09 15:27:33,198 com.controller.login.Login - 登入页面
